meteorname,mid,nametype,material,mass,fell,fallyear,lat,lon,geolocation
Thika,54493,Valid,L6,14200,Fell,01/01/2011 12:00:00 AM,-1.002780,37.150280,"(-1.002780, 37.150280)"
Maziba,15454,Valid,L6,4975,Fell,01/01/1942 12:00:00 AM,-1.216670,30.000000,"(-1.216670, 30.000000)"
Ruhobobo,22780,Valid,L6,465.5,Fell,01/01/1976 12:00:00 AM,-1.450000,29.833330,"(-1.450000, 29.833330)"
Daule,51559,Valid,L5,6580,Fell,01/01/2008 12:00:00 AM,-1.870890,-79.957560,"(-1.870890, -79.957560)"
Meridiani Planum,32789,Valid,"Iron, IAB complex",,Found,01/01/2005 12:00:00 AM,-1.946170,354.473330,"(-1.946170, 354.473330)"
Chisenga,5355,Valid,"Iron, IIIAB",3920,Fell,01/01/1988 12:00:00 AM,-10.059440,33.395000,"(-10.059440, 33.395000)"
Bendegó,5015,Valid,"Iron, IC",5360000,Found,01/01/1784 12:00:00 AM,-10.116670,-39.200000,"(-10.116670, -39.200000)"
Rupota,22783,Valid,L4-6,6000,Fell,01/01/1949 12:00:00 AM,-10.266670,38.766670,"(-10.266670, 38.766670)"
Peramiho,18792,Valid,Eucrite-mmict,165,Fell,01/01/1899 12:00:00 AM,-10.666670,35.500000,"(-10.666670, 35.500000)"
Quijingue,22362,Valid,"Pallasite, PMG",59000,Found,01/01/1984 12:00:00 AM,-10.750000,-39.216670,"(-10.750000, -39.216670)"
Mtola,16820,Valid,Stone-uncl,1100,Fell,01/01/1944 12:00:00 AM,-11.500000,33.500000,"(-11.500000, 33.500000)"
Jolomba,12199,Valid,LL6,483,Fell,01/01/1974 12:00:00 AM,-11.850000,15.833330,"(-11.850000, 15.833330)"
Gove,52859,Relict,Relict iron,0,Found,01/01/1979 12:00:00 AM,-12.263330,136.838330,"(-12.263330, 136.838330)"
Kota-Kota,12351,Valid,EH3,334,Found,01/01/1905 12:00:00 AM,-13.016670,34.200000,"(-13.016670, 34.200000)"
Rio do Pires,22608,Valid,L6,118,Found,01/01/1991 12:00:00 AM,-13.123330,-42.288500,"(-13.123330, -42.288500)"
Dowa,7725,Valid,Stone-uncl,642,Fell,01/01/1976 12:00:00 AM,-13.666670,33.916670,"(-13.666670, 33.916670)"
Maromandia,15430,Valid,L6,6000,Fell,01/01/2002 12:00:00 AM,-14.200000,48.100000,"(-14.200000, 48.100000)"
Yenberrie,30361,Valid,"Iron, IAB-MG",132000,Found,01/01/1918 12:00:00 AM,-14.250000,132.016670,"(-14.250000, 132.016670)"
Campinorte,52093,Valid,"Iron, ungrouped",2000000,Found,01/01/1992 12:00:00 AM,-14.258000,-49.159170,"(-14.258000, -49.159170)"
Palmas de Monte Alto,48959,Valid,"Iron, IIIAB",97000,Found,01/01/1954 12:00:00 AM,-14.367500,-43.022780,"(-14.367500, -43.022780)"
Cerro La Tiza,44877,Valid,H4,3740,Found,01/01/2002 12:00:00 AM,-14.533210,-75.775110,"(-14.533210, -75.775110)"
Uruaçu,24131,Valid,"Iron, IAB-MG",72500,Found,01/01/1992 12:00:00 AM,-14.533330,-48.766670,"(-14.533330, -48.766670)"
Tambo Quemado,23797,Valid,"Iron, IIIAB",141000,Found,01/01/1950 12:00:00 AM,-14.666670,-74.500000,"(-14.666670, -74.500000)"
Vitoria da Conquista,48953,Valid,"Iron, IVA",10500,Found,01/01/2007 12:00:00 AM,-14.838610,-40.836110,"(-14.838610, -40.836110)"
Roper River,22763,Valid,"Iron, IIIAB",6400,Found,01/01/1953 12:00:00 AM,-15.000000,135.000000,"(-15.000000, 135.000000)"
Zomba,30412,Valid,L6,7500,Fell,01/01/1899 12:00:00 AM,-15.183330,35.283330,"(-15.183330, 35.283330)"
Machinga,15371,Valid,L6,93200,Fell,01/01/1981 12:00:00 AM,-15.212220,35.242220,"(-15.212220, 35.242220)"
Itapuranga,12057,Valid,"Iron, IAB-MG",628000,Found,,-15.583330,-50.150000,"(-15.583330, -50.150000)"
Tawallah Valley,23889,Valid,"Iron, IVB",75750,Found,01/01/1939 12:00:00 AM,-15.700000,135.666670,"(-15.700000, 135.666670)"
Monze,16733,Valid,L6,,Fell,01/01/1950 12:00:00 AM,-15.966670,27.350000,"(-15.966670, 27.350000)"
Sanclerlandia,23132,Valid,"Iron, IIIAB",279000,Found,01/01/1971 12:00:00 AM,-16.216670,-50.300000,"(-16.216670, -50.300000)"
Santa Luzia,23166,Valid,"Iron, IIAB",1918000,Found,01/01/1921 12:00:00 AM,-16.266670,-47.950000,"(-16.266670, -47.950000)"
Otchinjau,18041,Valid,"Iron, IVA",30000,Found,01/01/1919 12:00:00 AM,-16.500000,14.000000,"(-16.500000, 14.000000)"
Carancas,45817,Valid,H4-5,342,Fell,01/01/2007 12:00:00 AM,-16.664440,-69.043890,"(-16.664440, -69.043890)"
Mafuta,15384,Valid,"Iron, IID",71500,Found,01/01/1984 12:00:00 AM,-16.902500,30.407220,"(-16.902500, 30.407220)"
Bocaiuva,5092,Valid,"Iron, ungrouped",64000,Found,01/01/1965 12:00:00 AM,-17.166670,-43.833330,"(-17.166670, -43.833330)"
Pirapora,18833,Valid,"Iron, IIAB",6175,Found,01/01/1888 12:00:00 AM,-17.300.000,-45.000000,"(-17.300000, -45.000000)"
Ehole,7774,Valid,H5,2400,Fell,01/01/1961 12:00:00 AM,-17.300000,15.833330,"(-17.300000, 15.833330)"
Chitado,5356,Valid,L6,,Fell,01/01/1966 12:00:00 AM,-17.350000,13.966670,"(-17.350000, 13.966670)"
Mangwendi,15405,Valid,LL6,22300,Fell,01/01/1934 12:00:00 AM,-17.650000,31.600000,"(-17.650000, 31.600000)"
Ovambo,18055,Valid,L6,121.5,Fell,01/01/1900 12:00:00 AM,-18.000000,16.000000,"(-18.000000, 16.000000)"
Pooposo,18869,Valid,"Iron, IAB-MG",12000,Found,01/01/1910 12:00:00 AM,-18.333330,-66.833330,"(-18.333330, -66.833330)"
Minas Gerais,16693,Valid,L6,1224,Found,01/01/1888 12:00:00 AM,-18.500000,-44.000000,"(-18.500000, -44.000000)"
Etosha,10061,Valid,"Iron, IC",110700,Found,01/01/1970 12:00:00 AM,-18.500000,16.000000,"(-18.500000, 16.000000)"
Patos de Minas (hexahedrite),18113,Valid,"Iron, IIAB",32000,Found,01/01/1925 12:00:00 AM,-18.583330,-46.533330,"(-18.583330, -46.533330)"
Patos de Minas (octahedrite),18114,Valid,"Iron, IAB complex",200000,Found,01/01/1925 12:00:00 AM,-18.583330,-46.533330,"(-18.583330, -46.533330)"
Governador Valadares,10950,Valid,Martian (nakhlite),158,Found,01/01/1958 12:00:00 AM,-18.850000,-41.950000,"(-18.850000, -41.950000)"
Piedade do Bagre,18817,Valid,"Iron, ungrouped",59000,Found,01/01/1922 12:00:00 AM,-18.941670,-44.983330,"(-18.941670, -44.983330)"
